"player","pos","age","team","games_played","games_started","min","fg","fga","fg_perc","threes_made","threes_att","threes_perc","twos_made","twos_att","twos_perc","efg_perc","ft","fta","ft_perc","o_reb","d_reb","tot_reb","ast","stl","blk","tover","fouls","pts","year","height","weight","college","yr_start","yr_retire","rookie","miss","eff","prim_pos","pos_num","year_exp"
"Carlos Boozer","PF",22,"CLE",75,75,34.6,6.3,12,0.523,0,0.1,0.167,6.3,11.9,0.526,0.524,2.9,3.8,0.768,3.1,8.4,11.4,2,1,0.7,1.8,2.7,15.5,2003,81,258,"Duke",2003,2015,"Rookie",5.7,23.1,"PF",4,0
"Cherokee Parks","C",31,"GSW",12,0,5.3,0.3,0.8,0.4,0,0,0,0.3,0.8,0.4,0.4,0.3,0.5,0.667,0.3,0.5,0.8,0.1,0,0.3,0.2,0.6,1,2003,83,235,"Duke",1996,2004,"Not Rookie",0.5,1.5,"C",5,7
"Christian Laettner","PF",34,"WAS",48,18,20.5,2.5,5.3,0.465,0.1,0.4,0.286,2.4,4.9,0.481,0.477,0.8,1,0.8,1,3.8,4.8,1.9,0.8,0.6,0.9,2.1,5.9,2003,83,235,"Duke",1993,2005,"Not Rookie",2.8,10.3,"PF",4,10
"Corey Maggette","SF",24,"LAC",73,72,36,6.2,13.9,0.447,1,3.2,0.329,5.2,10.7,0.482,0.485,7.2,8.5,0.848,1.3,4.6,5.9,3.1,0.9,0.2,2.8,3,20.7,2003,78,218,"Duke",2000,2013,"Not Rookie",7.7,20.3,"SF",3,3
"Elton Brand","PF",24,"LAC",69,68,38.7,7,14.2,0.493,0,0,0,7,14.2,0.493,0.493,6,7.7,0.773,3.9,6.4,10.3,3.3,0.9,2.2,2.8,3.3,20,2003,80,275,"Duke",2000,2016,"Not Rookie",7.2,26.7,"PF",4,3
"Shane Battier","SF",25,"MEM",79,1,24.6,3.1,6.9,0.446,0.8,2.4,0.349,2.2,4.5,0.496,0.506,1.5,2.1,0.732,1.3,2.5,3.8,1.3,1.3,0.7,0.7,2.4,8.5,2003,80,220,"Duke",2002,2014,"Not Rookie",3.8,11.1,"SF",3,1
"Carlos Boozer","PF",23,"UTA",51,51,34.7,7.1,13.6,0.521,0,0,0,7.1,13.6,0.522,0.521,3.7,5.3,0.698,2.8,6.2,9,2.8,0.8,0.5,2.7,3.5,17.8,2004,81,258,"Duke",2003,2015,"Not Rookie",6.5,21.7,"PF",4,1
"Chris Duhon","PG",22,"CHI",82,73,26.5,2.1,6,0.352,1.1,3.2,0.355,1,2.7,0.35,0.449,0.6,0.8,0.731,0.3,2.3,2.6,4.9,1,0,1.5,2.5,5.9,2004,73,185,"Duke",2005,2013,"Not Rookie",3.9,9,"PG",1,-1
"Christian Laettner","PF",35,"MIA",49,0,15.1,2.2,3.8,0.582,0,0.1,0.143,2.2,3.6,0.599,0.584,0.9,1.2,0.763,0.7,1.9,2.7,0.8,0.7,0.3,0.6,1.6,5.3,2004,83,235,"Duke",1993,2005,"Not Rookie",1.6,7.6,"PF",4,11
"Corey Maggette","SG",25,"LAC",66,60,36.9,6.4,14.9,0.431,0.8,2.5,0.304,5.7,12.4,0.457,0.457,8.5,10,0.857,1.1,4.9,6,3.4,1.1,0.1,3,2.9,22.2,2004,78,218,"Duke",2000,2013,"Not Rookie",8.5,21.3,"SG",2,4
"Elton Brand","PF",25,"LAC",81,81,37,7.8,15.4,0.503,0,0,0,7.8,15.4,0.504,0.503,4.5,6,0.752,3.7,5.9,9.5,2.6,0.8,2.1,2.3,3,20,2004,80,275,"Duke",2000,2016,"Not Rookie",7.6,25.1,"PF",4,4
"Grant Hill","SF",32,"ORL",67,67,34.9,7.7,15.1,0.509,0,0.2,0.231,7.7,15,0.513,0.511,4.2,5.1,0.821,1.1,3.6,4.7,3.3,1.4,0.4,2.4,2.1,19.7,2004,80,225,"Duke",1995,2013,"Not Rookie",7.4,19.7,"SF",3,9
